alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
2.0,0.0,-10.0,0.0,0.237943219108,0.012034552325,-2.19209e-07,-3.48929e-07,-0.076206726547,3.1344e-08
2.0,2.0,-10.0,0.0,0.237777185983,0.012074662535,-0.003423958796,-0.004003020902,-0.076293447516,0.000416555781
4.0,-2.0,-10.0,0.0,0.38621315677,0.016582572421,0.003189255399,0.004671527702,-0.121235827804,-0.000208700453
4.0,0.0,-10.0,0.0,0.386570745058,0.016549129157,-1.46437e-07,-3.58343e-07,-0.121204892462,2.0875e-08
4.0,2.0,-10.0,0.0,0.386213275159,0.016582547628,-0.003189507231,-0.004672224329,-0.121235895433,0.000208738238
6.0,-2.0,-10.0,0.0,0.534523992014,0.0232308427,0.002916163446,0.005336226455,-0.167092351377,-1.7232984e-05
6.0,0.0,-10.0,0.0,0.535073384234,0.023207206034,-2.78306e-07,-5.49866e-07,-0.167117862978,2.7573e-08
6.0,2.0,-10.0,0.0,0.534524795241,0.023230628225,-0.002916670277,-0.00533747693,-0.167092976508,1.7235627e-05
8.0,-2.0,-10.0,0.0,0.68246540791,0.031987767598,0.002610929515,0.005998607746,-0.2137288009,0.000156734803
8.0,0.0,-10.0,0.0,0.683198077794,0.031977321891,-4.81444e-07,-1.200842e-06,-0.213799678461,-6.7e-09
8.0,2.0,-10.0,0.0,0.682465280882,0.031987886873,-0.002611833122,-0.006000666538,-0.213729837298,-0.000156716672
10.0,-2.0,-10.0,0.0,0.829767416906,0.042811001981,0.002257648311,0.006650464584,-0.26096737158,0.000315081624
10.0,0.0,-10.0,0.0,0.830694671108,0.042817296861,-6.40754e-07,-1.602288e-06,-0.261103590705,-1.70598e-07
10.0,2.0,-10.0,0.0,0.82976713696,0.042810901059,-0.00225890489,-0.006653698602,-0.260967469428,-0.00031542701
-10.0,-2.0,-10.0,2.0,-0.642257866365,0.030301383613,0.001333924979,-0.004900766434,0.167701729838,-0.000919116523
-10.0,0.0,-10.0,2.0,-0.642674140623,0.03031278302,-0.002684524017,-0.00484409442,0.167675733486,0.001067304316
-10.0,2.0,-10.0,2.0,-0.640982277998,0.030332341246,-0.006707696812,-0.004782076956,0.16658554157,0.003052698033
-8.0,-2.0,-10.0,2.0,-0.498320434967,0.021971407271,0.001500736404,-0.00423107479,0.13088684764,-0.000741924868
-8.0,0.0,-10.0,2.0,-0.498540023615,0.021974939919,-0.002510190144,-0.004852722323,0.130799459594,0.000946357343
-8.0,2.0,-10.0,2.0,-0.497036035574,0.022016232079,-0.006526026782,-0.005469084313,0.129762416232,0.002633949055
-6.0,-2.0,-10.0,2.0,-0.353029047999,0.015718598615,0.001636383824,-0.003553305368,0.092447658587,-0.000580834264
-6.0,0.0,-10.0,2.0,-0.353050630301,0.01571772905,-0.002331555886,-0.004853513246,0.092296947467,0.000823494445
-6.0,2.0,-10.0,2.0,-0.351737655841,0.01577727253,-0.006304628076,-0.006148583502,0.091316538864,0.002227488475
-4.0,-2.0,-10.0,2.0,-0.206622322948,0.011582572632,0.001738701661,-0.002868375339,0.052482282437,-0.000435666975
-4.0,0.0,-10.0,2.0,-0.206445271555,0.01158078675,-0.002149443262,-0.004846597219,0.052266463054,0.0006992332
-4.0,2.0,-10.0,2.0,-0.205325173887,0.011655091736,-0.006042924752,-0.006819891655,0.051345713634,0.00183414353
-2.0,-2.0,-10.0,2.0,-0.059339622966,0.009591519756,0.00180645959,-0.002176471277,0.01109294789,-0.000306365136
-2.0,0.0,-10.0,2.0,-0.058906961576,0.009591818999,-0.001974524041,-0.004836079069,0.010718384865,0.000576062238
-2.0,2.0,-10.0,2.0,-0.05803865375,0.009677740392,-0.005739869867,-0.007481820569,0.009952854808,0.001454585916
