alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
-2,-4,-16,0,0.00057712,0.01199532,0.007610362,0.006244588,-0.04182037,-0.001739102
-2,-2,-16,0,2.44E-05,0.011869087,0.003788267,0.003119038,-0.041261803,-0.000867302
-2,0,-16,0,-0.000128991,0.011827411,-2.25E-06,-2.69E-06,-0.041136878,3.83E-07
-2,2,-16,0,2.51E-05,0.011869091,-0.003788254,-0.003119177,-0.041262698,0.000867313
-2,4,-16,0,0.000577826,0.011995267,-0.007610109,-0.006244558,-0.041820742,0.00173905
-2,6,-16,0,0.001532334,0.012202012,-0.011371423,-0.009327973,-0.042808326,0.002593083
0,-6,-16,0,0.147496083,0.013105678,0.010829753,0.011334418,-0.084961075,-0.001874607
0,-4,-16,0,0.147487702,0.012900684,0.007245634,0.007586664,-0.084274985,-0.001257333
0,-2,-16,0,0.147501949,0.012776053,0.003608083,0.00379304,-0.083894188,-0.0006265
0,0,-16,0,0.147549001,0.01273493,3.20E-08,-3.06E-08,-0.083832592,8.03E-10
0,2,-16,0,0.147504185,0.012776146,-0.003608077,-0.003792927,-0.083895699,0.000626499
0,4,-16,0,0.147490261,0.012900796,-0.007245636,-0.007586678,-0.084276624,0.001257332
0,6,-16,0,0.14749787,0.013105726,-0.010829849,-0.011334415,-0.084961947,0.001874604
2,-6,-16,0,0.29375675,0.01612626,0.010172835,0.013331068,-0.128196775,-0.001202036
2,-4,-16,0,0.294700534,0.015939958,0.006803677,0.008922318,-0.127821081,-0.000806452
2,-2,-16,0,0.295286118,0.015827058,0.003389118,0.004463671,-0.127623106,-0.000401153
2,0,-16,0,0.295523688,0.01579023,-4.81E-07,-4.98E-07,-0.127615885,5.35E-08
2,2,-16,0,0.29528632,0.015826963,-0.003389831,-0.004464621,-0.127623397,0.000401236
2,4,-16,0,0.294700865,0.015940099,-0.006804221,-0.008923099,-0.127821926,0.000806536
2,6,-16,0,0.293757402,0.016126298,-0.010172999,-0.013331693,-0.128197183,0.001202076
4,-6,-16,0,0.440064286,0.021253417,0.009400807,0.015315867,-0.172383816,-0.000576556
4,-4,-16,0,0.441963184,0.021102244,0.006284643,0.010250126,-0.172325152,-0.000387191
4,-2,-16,0,0.443121752,0.021010635,0.003131893,0.005130627,-0.172313354,-0.000191617
4,0,-16,0,0.44355009,0.020981467,-5.65E-08,-4.49E-07,-0.172361089,2.22E-08
4,2,-16,0,0.443121694,0.021010641,-0.00313201,-0.005131522,-0.17231323,0.000191663
4,4,-16,0,0.441962949,0.021102243,-0.00628479,-0.010251055,-0.17232484,0.000387233
4,6,-16,0,0.440063854,0.021253411,-0.009400942,-0.015316738,-0.172383432,0.000576594
6,-6,-16,0,0.586169896,0.028464677,0.008515049,0.017286669,-0.217384861,6.84E-07
